TABLE_NAME,COLUMN_NAME,DB_DATA_TYPE,COLUMN_KEY,EXTRA,SCRUB_EXEMPT,TO_BE_HASHED,FULL_SCRUB
FEEDBACK_COMMENT,MESSAGE_ID,int,MUL,,N,Y,N
FEEDBACK_COMMENT,BODY,longtext,,,N,N,N
FLAG,NAME,varchar,PRI,,Y,N,N
FLAG,ATTACHED_TO,varchar,,,Y,N,N
FLAG_ENTRIES,QUESTION_ID,int,PRI,,Y,N,N
FLAG_ENTRIES,FLAG_NAME,varchar,PRI,,N,N,N
FLAG_ENTRIES,ENTRIES,longtext,,,N,N,N
FORM,ID,int,PRI,auto_increment,Y,N,N
FORM,NAME,varchar,,,Y,N,N
FORM,DISPLAY_NAME,varchar,,,Y,N,N
FORM,DESCRIPTION,varchar,,,Y,N,N
FORM,TIMESTAMP,datetime,,,Y,N,N
FORM,PROCESSOR,varchar,,,Y,N,N
FORM_OPTION,ID,int,PRI,auto_increment,Y,N,N
FORM_OPTION,FORM_QUESTION_ID,int,MUL,,Y,N,N
FORM_OPTION,LINKED_FORM_ID,int,MUL,,Y,N,N
FORM_OPTION,FILL_IN,tinyint,,,Y,N,N
FORM_OPTION,REQUIRED,tinyint,,,Y,N,N
FORM_OPTION,VALUE,varchar,,,Y,N,N
FORM_OPTION,DISPLAY_VALUE,varchar,,,Y,N,N
FORM_OPTION,ACCESS_ROLE,varchar,,,Y,N,N
FORM_QUESTION,ID,int,PRI,auto_increment,Y,N,N
FORM_QUESTION,FORM_ID,int,MUL,,Y,N,N
FORM_QUESTION,NAME,varchar,,,Y,N,N
FORM_QUESTION,QUESTION,varchar,,,Y,N,N
FORM_QUESTION,TYPE,varchar,,,Y,N,N
FORM_QUESTION,ENABLED,tinyint,,,Y,N,N
FORM_QUESTION,REQUIRED,tinyint,,,Y,N,N
FORM_QUESTION,PLACEHOLDER_TEXT,varchar,,,Y,N,N
FORM_QUESTION,DESCRIPTION,varchar,,,Y,N,N
FORM_QUESTION,ACCESS_ROLE,varchar,,,Y,N,N
GOOD_EGG,ID,int,PRI,auto_increment,N,Y,N
GOOD_EGG,COUNSELOR_ID,int,MUL,,N,Y,N
GOOD_EGG,SUBMITTER_ID,int,MUL,,N,Y,N
GOOD_EGG,TYPE_ID,int,MUL,,Y,N,N
GOOD_EGG,MESSAGE,longtext,,,N,N,N
GOOD_EGG,CREATED,datetime,,,Y,N,N
GOOD_EGG,UPDATED,datetime,,,Y,N,N
GOOD_EGG,EXAMPLE_GOOD_EGG_ID,int,MUL,,Y,N,N
GOOD_EGG_TYPE,ID,int,PRI,auto_increment,Y,N,N
GOOD_EGG_TYPE,NAME,varchar,,,Y,N,N
GOOD_EGG_TYPE,DESCRIPTION,varchar,,,Y,N,N
GOOD_EGG_TYPE,ACTIVE,tinyint,,,Y,N,N
HIGH_IMPACTER_CHANGE,ID,int,PRI,auto_increment,N,Y,N
HIGH_IMPACTER_CHANGE,USER,int,MUL,,N,Y,N
HIGH_IMPACTER_CHANGE,LEVEL,int,,,Y,N,N
HIGH_IMPACTER_CHANGE,TIMESTAMP,datetime,,,Y,N,N
KEYWORD,ID,int,PRI,auto_increment,Y,N,N
KEYWORD,KEYWORD,varchar,,,Y,N,N
KEYWORD,DESCRIPTION,longtext,,,Y,N,N
LEVEL_CHANGE,ID,int,PRI,auto_increment,N,Y,N
LEVEL_CHANGE,USER,int,MUL,,N,Y,N
LEVEL_CHANGE,LEVEL,varchar,,,Y,N,N
LEVEL_CHANGE,CONFIG_KEY,varchar,,,Y,N,N
LEVEL_CHANGE,TIMESTAMP,datetime,,,Y,N,N
